token_idx,phase,layer,k_required,k_hit,k_miss,ssd_read_us,h2d_us,compute_us,stall_us,cache_resident_experts,predictor
0,prefill,0,64,0,64,95885,29533,0,125418,64,eamc
0,prefill,1,64,0,64,102156,28987,0,131143,64,eamc
0,prefill,2,64,0,64,62831,28121,0,90952,64,eamc
0,prefill,3,64,0,64,81840,28566,0,110406,64,eamc
0,prefill,4,64,0,64,72051,28469,0,100520,64,eamc
0,prefill,5,64,0,64,85349,29627,0,114976,64,eamc
0,prefill,6,64,0,64,46293,30259,0,76552,64,eamc
0,prefill,7,64,0,64,49740,28750,0,78490,64,eamc
0,prefill,8,64,0,64,39741,27263,0,67004,64,eamc
0,prefill,9,64,0,64,51815,33527,0,85342,64,eamc
0,prefill,10,64,0,64,27215,30161,0,57376,64,eamc
0,prefill,11,64,0,64,20549,27328,0,47877,64,eamc
0,prefill,12,64,0,64,21411,27280,0,48691,64,eamc
0,prefill,13,64,0,64,16734,26873,0,43607,64,eamc
0,prefill,14,64,0,64,16992,27283,0,44275,64,eamc
0,prefill,15,64,0,64,16499,26507,0,43006,64,eamc
0,prefill,16,64,0,64,19245,25439,0,44684,64,eamc
0,prefill,17,64,0,64,18814,25257,0,44071,64,eamc
0,prefill,18,64,0,64,18226,25315,0,43541,64,eamc
0,prefill,19,64,0,64,19565,25013,0,44578,64,eamc
0,prefill,20,64,0,64,22389,25071,0,47460,64,eamc
0,prefill,21,64,0,64,22149,24825,0,46974,64,eamc
0,prefill,22,64,0,64,19442,24957,0,44399,64,eamc
0,prefill,23,64,0,64,19727,25007,0,44734,64,eamc
0,prefill,24,64,0,64,20877,24792,0,45669,64,eamc
0,prefill,25,64,0,64,18042,24766,0,42808,64,eamc
0,prefill,26,64,0,64,17831,24676,0,42507,64,eamc
0,prefill,27,64,0,64,18510,24808,0,43318,64,eamc
0,prefill,28,64,0,64,18086,27115,0,45201,64,eamc
0,prefill,29,64,0,64,18077,28367,0,46444,64,eamc
0,prefill,30,64,0,64,18094,28337,0,46431,64,eamc
0,prefill,31,64,0,64,47181,28722,0,75903,64,eamc
0,prefill,32,64,0,64,47161,28932,0,76093,64,eamc
0,prefill,33,64,0,64,60594,28693,0,89287,64,eamc
0,prefill,34,64,0,64,49396,28671,0,78067,64,eamc
0,prefill,35,64,0,64,71670,28998,0,100668,64,eamc
0,prefill,36,64,0,64,62608,29034,0,91642,64,eamc
0,prefill,37,64,0,64,74416,29050,0,103466,64,eamc
0,prefill,38,64,0,64,71453,28996,0,100449,64,eamc
0,prefill,39,64,0,64,79456,29028,0,108484,64,eamc
8,prefill,0,64,28,36,88460,15290,0,103750,96,eamc
8,prefill,1,64,25,39,85630,15910,0,101540,96,eamc
8,prefill,2,64,17,47,106377,19806,0,126183,96,eamc
8,prefill,3,64,27,37,67338,16280,0,83618,96,eamc
8,prefill,4,64,23,41,76392,17830,0,94222,96,eamc
8,prefill,5,64,23,41,79525,16783,0,96308,96,eamc
8,prefill,6,64,19,45,90482,18251,0,108733,96,eamc
8,prefill,7,64,15,49,111712,20408,0,132120,96,eamc
8,prefill,8,64,22,42,95827,17576,0,113403,96,eamc
8,prefill,9,64,24,40,92023,17011,0,109034,96,eamc
8,prefill,10,64,19,45,101062,19179,0,120241,96,eamc
8,prefill,11,64,13,51,93739,21684,0,115423,96,eamc
8,prefill,12,64,12,52,94175,22561,0,116736,96,eamc
8,prefill,13,64,19,45,80864,18739,0,99603,96,eamc
8,prefill,14,64,16,48,102214,20338,0,122552,96,eamc
8,prefill,15,64,18,46,88111,19755,0,107866,96,eamc
8,prefill,16,64,23,41,73796,17410,0,91206,96,eamc
8,prefill,17,64,23,41,73161,17666,0,90827,96,eamc
8,prefill,18,64,30,34,55915,14560,0,70475,96,eamc
8,prefill,19,64,21,43,75061,18178,0,93239,96,eamc
8,prefill,20,64,23,41,72209,17421,0,89630,96,eamc
8,prefill,21,64,16,48,103868,21395,0,125263,96,eamc
